block_id,ln_total_hh,ln_total_jobs,ln_total_units,sum_acres,total_hh,total_jobs,total_units
060971534032026,2.4849066497880004,1.3862943611198906,2.3978952727983707,4.142470952788088,11.0,3.0,10.0
060971534032027,0.0,3.2188758248682006,0.6931471805599453,1.6170561867719664,0.0,24.0,1.0
060971534032028,2.0794415416798357,4.983606621708336,1.791759469228055,1.7255353533356725,7.0,145.0,5.0
060971534032029,2.8903717578961645,0.6931471805599453,2.6390573296152584,6.7237314856456605,17.0,1.0,13.0
060971534032030,0.0,3.044522437723423,1.0986122886681096,0.24784647850432187,0.0,20.0,2.0
060971534034010,0.0,0.0,1.0986122886681096,2.156486757634314,0.0,0.0,2.0
060971534034012,0.0,0.0,0.0,0.14505073068996704,0.0,0.0,0.0
060971534034013,3.951243718581427,4.007333185232471,3.9702919135521215,38.488605980933364,51.0,54.0,52.0
060971534034015,0.0,2.772588722239781,0.6931471805599453,0.9970693327666388,0.0,15.0,1.0
060971534041004,3.2188758248682006,3.4657359027997265,2.9444389791664403,32.780723820443505,24.0,31.0,18.0
060971534041005,3.6375861597263857,1.9459101490553132,3.912023005428146,127.47562307566854,37.0,6.0,49.0
060971534041006,4.025351690735149,3.784189633918261,4.127134385045092,81.26794601246398,55.0,43.0,61.0
060971534041007,4.143134726391533,2.8903717578961645,4.418840607796597,183.91889020129187,62.0,17.0,82.0
060971534041008,3.5553480614894135,2.833213344056216,3.4965075614664802,81.11325818041642,34.0,16.0,32.0
060971534041009,0.0,0.0,1.3862943611198906,5.287556278200877,0.0,0.0,3.0
060971534041010,1.0986122886681096,0.0,1.791759469228055,6.463776854153591,2.0,0.0,5.0
060971534042002,2.0794415416798357,1.791759469228055,1.9459101490553132,5.789179759121887,7.0,5.0,6.0
060971534042012,2.70805020110221,2.5649493574615367,2.995732273553991,19.389600826319665,14.0,12.0,19.0
060971534042013,2.4849066497880004,2.0794415416798357,1.3862943611198906,4.688573363051847,11.0,7.0,3.0
060971534042014,3.6375861597263857,1.6094379124341003,3.988984046564274,68.90379207583163,37.0,4.0,53.0
060971534042015,2.995732273553991,1.9459101490553132,2.8903717578961645,27.976505241100508,19.0,6.0,17.0
